Streaming output truncated to the last 5000 lines.
2026-05-10 02:47:18,088 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1063 total_rows=1063
2026-05-10 02:47:18,090 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180196.taz rows=1063
2026-05-10 02:47:18,326 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=757 total_rows=757
2026-05-10 02:47:18,327 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180197.taz rows=757
2026-05-10 02:47:18,483 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=488 total_rows=488
2026-05-10 02:47:18,484 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180198.taz rows=488
2026-05-10 02:47:18,706 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=628 total_rows=628
2026-05-10 02:47:18,707 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180199.taz rows=628
2026-05-10 02:47:19,007 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=870 total_rows=870
2026-05-10 02:47:19,009 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180200.taz rows=870
2026-05-10 02:47:19,260 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=748 total_rows=748
2026-05-10 02:47:19,261 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180201.taz rows=748
2026-05-10 02:47:19,472 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=658 total_rows=658
2026-05-10 02:47:19,474 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180202.taz rows=658
2026-05-10 02:47:19,674 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=595 total_rows=595
2026-05-10 02:47:19,675 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180203.taz rows=595
2026-05-10 02:47:19,774 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=273 total_rows=273
2026-05-10 02:47:19,775 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180204.taz rows=273
2026-05-10 02:47:20,097 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=968 total_rows=968
2026-05-10 02:47:20,098 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180205.taz rows=968
2026-05-10 02:47:20,623 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1632 total_rows=1632
2026-05-10 02:47:20,626 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180206.taz rows=1632
2026-05-10 02:47:20,910 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=899 total_rows=899
2026-05-10 02:47:20,912 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180207.taz rows=899
2026-05-10 02:47:21,045 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=397 total_rows=397
2026-05-10 02:47:21,046 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180208.taz rows=397
2026-05-10 02:47:21,236 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=573 total_rows=573
2026-05-10 02:47:21,237 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180209.taz rows=573
2026-05-10 02:47:21,433 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=596 total_rows=596
